epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9106,2.41937,3.34856,1.61449,0.05485,0.09472,0.06088,0.0247,2.41329,3.48993,1.44727,0.0681709,0.000649573,0.000649573
2,69.7801,2.22988,2.3942,1.55781,0.43863,0.09472,0.09209,0.03821,2.11572,2.58673,1.49302,0.035504,0.00131595,0.00131595
3,105.753,2.18575,2.13869,1.55057,0.26936,0.37123,0.23518,0.11726,2.03239,2.19285,1.49831,0.00283585,0.00198115,0.00198115
4,141.868,2.05173,2.02419,1.53072,0.3085,0.40776,0.31941,0.12454,2.02189,1.89972,1.42787,0.00199601,0.00199601,0.00199601
5,177.6,1.9658,1.74061,1.4163,0.4576,0.3907,0.38647,0.20798,1.89479,1.65461,1.39112,0.0019929,0.0019929,0.0019929
6,213.196,1.90322,1.65409,1.39957,0.5385,0.38767,0.47647,0.24888,1.82948,1.56129,1.36952,0.00198892,0.00198892,0.00198892
7,248.279,1.88163,1.64704,1.43684,0.52364,0.38912,0.4593,0.22517,1.93358,1.69367,1.46364,0.00198406,0.00198406,0.00198406
8,283.181,1.96458,1.67799,1.47945,0.53881,0.45973,0.43488,0.23402,1.81898,1.49663,1.41311,0.00197833,0.00197833,0.00197833
9,318.118,1.88187,1.54484,1.40251,0.59067,0.53058,0.55398,0.29545,1.81271,1.35984,1.41371,0.00197172,0.00197172,0.00197172
10,353.767,1.82219,1.49731,1.41772,0.63663,0.61402,0.6408,0.30451,1.77644,1.31776,1.40633,0.00196426,0.00196426,0.00196426
11,389.429,1.80014,1.46418,1.42498,0.66605,0.55826,0.58602,0.30012,1.74229,1.309,1.3905,0.00195595,0.00195595,0.00195595
12,424.41,1.77234,1.47777,1.39714,0.6862,0.57321,0.61174,0.31804,1.72797,1.32942,1.40957,0.00194679,0.00194679,0.00194679
13,459.327,1.72364,1.4078,1.32922,0.74155,0.57695,0.61711,0.33821,1.70471,1.28836,1.3684,0.0019368,0.0019368,0.0019368
14,494.859,1.77013,1.47269,1.31781,0.70362,0.5272,0.62625,0.34035,1.70668,1.22899,1.38791,0.00192598,0.00192598,0.00192598
15,532.152,1.63639,1.29343,1.34225,0.6521,0.54403,0.62086,0.36387,1.66741,1.18248,1.40274,0.00191434,0.00191434,0.00191434
16,567.787,1.71161,1.38144,1.3404,0.78618,0.52205,0.65362,0.341,1.66313,1.23543,1.31774,0.00190191,0.00190191,0.00190191
17,601.997,1.63221,1.24043,1.28069,0.74816,0.51991,0.64047,0.32937,1.66322,1.27296,1.42818,0.00188868,0.00188868,0.00188868
18,637.176,1.59109,1.25173,1.36275,0.72113,0.60024,0.66706,0.35848,1.64792,1.21477,1.35081,0.00187467,0.00187467,0.00187467
19,672.204,1.61932,1.22918,1.28572,0.73115,0.58676,0.67315,0.37787,1.68269,1.22842,1.37994,0.0018599,0.0018599,0.0018599
20,707.733,1.57651,1.19059,1.27238,0.69895,0.58336,0.66713,0.35741,1.76381,1.27967,1.51528,0.00184437,0.00184437,0.00184437
21,742.538,1.59916,1.18506,1.29293,0.63213,0.61821,0.68598,0.35717,1.7541,1.17183,1.48664,0.00182812,0.00182812,0.00182812
22,777.141,1.57906,1.19251,1.25156,0.70477,0.57375,0.66001,0.38097,1.64476,1.12947,1.32786,0.00181114,0.00181114,0.00181114
23,810.135,1.60356,1.23973,1.30682,0.74988,0.54972,0.65867,0.36103,1.69156,1.1634,1.39134,0.00179346,0.00179346,0.00179346
24,846.979,1.58533,1.19302,1.28004,0.71811,0.65142,0.7266,0.40949,1.61963,1.14501,1.37973,0.0017751,0.0017751,0.0017751
25,882.768,1.59225,1.18386,1.27941,0.87528,0.5539,0.68248,0.39931,1.58465,1.09567,1.33414,0.00175607,0.00175607,0.00175607
26,916.239,1.53393,1.18369,1.26797,0.61915,0.63474,0.66735,0.36713,1.68574,1.13037,1.38955,0.0017364,0.0017364,0.0017364
27,949.771,1.53828,1.16714,1.29043,0.83047,0.58025,0.67813,0.39033,1.59998,1.15576,1.38561,0.00171609,0.00171609,0.00171609
28,982.944,1.47781,1.06958,1.26632,0.86562,0.53948,0.68331,0.38939,1.61089,1.13969,1.39516,0.00169518,0.00169518,0.00169518
29,1017.4,1.41208,1.03057,1.2736,0.71574,0.60344,0.66144,0.40363,1.57406,1.10721,1.38635,0.00167368,0.00167368,0.00167368
30,1050.92,1.50239,1.07361,1.27069,0.70572,0.68584,0.70117,0.4104,1.56971,1.11651,1.38251,0.00165162,0.00165162,0.00165162
31,1083.66,1.47108,1.09305,1.25149,0.81149,0.66998,0.73695,0.44589,1.59683,1.08485,1.39482,0.00162901,0.00162901,0.00162901
32,1117.11,1.46507,1.08436,1.23024,0.77697,0.68907,0.74415,0.41803,1.58445,1.10166,1.38674,0.00160588,0.00160588,0.00160588
33,1149.97,1.46238,1.04711,1.26771,0.69179,0.67029,0.68783,0.41622,1.58824,1.09764,1.41502,0.00158224,0.00158224,0.00158224
34,1183.65,1.36996,0.98562,1.21473,0.78468,0.56778,0.67914,0.41445,1.55851,1.09859,1.37473,0.00155814,0.00155814,0.00155814
35,1217.28,1.39787,0.97064,1.2218,0.70543,0.63913,0.68814,0.41381,1.55682,1.06263,1.35372,0.00153358,0.00153358,0.00153358
36,1250.33,1.40948,1.00438,1.22616,0.80409,0.68494,0.7518,0.42473,1.53735,1.0607,1.36495,0.00150859,0.00150859,0.00150859
37,1282.87,1.39545,0.99696,1.19095,0.83087,0.59382,0.70685,0.40059,1.61277,1.08829,1.42986,0.0014832,0.0014832,0.0014832
38,1315.98,1.41169,1.04048,1.22256,0.8475,0.61442,0.72586,0.43842,1.55048,1.0589,1.40617,0.00145743,0.00145743,0.00145743
