epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.592,2.4044,3.07879,1.92375,0.51682,0.41912,0.34674,0.16951,2.28891,3.19542,2.07147,0.0878585,0.000122642,0.000122642
2,453.581,2.33923,2.93333,1.90589,0.63724,0.39114,0.38779,0.23093,2.01256,2.63319,1.87826,0.0754835,0.000247603,0.000247603
3,670.637,2.24185,2.75731,1.78201,0.53951,0.4392,0.38676,0.24415,1.96547,2.33889,1.87062,0.0631083,0.000372412,0.000372412
4,889.082,2.30219,2.85122,1.82058,0.61763,0.47298,0.39965,0.22082,1.89805,2.20587,1.84781,0.0507328,0.000496951,0.000496951
5,1116.27,2.26149,2.77685,1.85326,0.63024,0.43853,0.42738,0.24703,1.874,2.19155,1.85616,0.038357,0.000621107,0.000621107
6,1335,2.23176,2.77511,1.80871,0.6067,0.42985,0.41025,0.24011,1.87585,2.25639,1.8503,0.0259806,0.000744763,0.000744763
7,1552.21,2.24942,2.83313,1.88113,0.60995,0.39914,0.40696,0.23765,1.87951,2.26586,1.84221,0.0136037,0.000867807,0.000867807
8,1767.83,2.30142,2.86925,1.73776,0.63012,0.40714,0.36025,0.23832,1.87263,2.26246,1.84688,0.00122597,0.000990124,0.000990124
9,1984.53,2.16024,2.70648,1.82907,0.6441,0.4034,0.35392,0.23289,1.86081,2.28165,1.85495,0.000990166,0.000990166,0.000990166
10,2200.19,2.19636,2.74647,1.78877,0.62228,0.45524,0.39675,0.23981,1.85223,2.30589,1.85439,0.000987566,0.000987566,0.000987566
11,2415.03,2.21602,2.79085,1.77584,0.62422,0.45991,0.40911,0.25788,1.84618,2.31938,1.83742,0.000984667,0.000984667,0.000984667
12,2631.07,2.14782,2.67673,1.77687,0.62257,0.45827,0.43347,0.26578,1.83953,2.25259,1.81924,0.000981469,0.000981469,0.000981469
