epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3707,2.39295,3.39612,1.65133,0.6598,0.23736,0.35068,0.18494,1.93528,3.77012,1.42848,0.0881724,0.000241379,0.000241379
2,90.6108,2.43244,2.86858,1.70198,0.68854,0.4294,0.52795,0.32234,1.86552,2.95432,1.55015,0.0759223,0.000491296,0.000491296
3,131.403,2.4303,2.92541,1.63096,0.75162,0.45144,0.56085,0.34704,1.68524,2.38776,1.47463,0.0636719,0.000740876,0.000740876
4,170.92,2.39051,2.8484,1.66184,0.78004,0.48262,0.59673,0.3699,1.63987,1.80976,1.46028,0.0514209,0.000989867,0.000989867
5,210.718,2.34609,2.72163,1.58649,0.79348,0.49211,0.62373,0.37457,1.6099,1.56524,1.46743,0.039169,0.00123801,0.00123801
6,251.11,2.38697,2.76984,1.57226,0.73485,0.52026,0.66229,0.37456,1.67144,1.58294,1.51575,0.0269161,0.00148506,0.00148506
7,291.133,2.34225,2.79263,1.57366,0.74567,0.48672,0.59021,0.36875,1.70438,1.47398,1.56824,0.0146618,0.00173077,0.00173077
8,332.317,2.29641,2.71297,1.53624,0.79503,0.48802,0.59816,0.34926,1.73716,1.73936,1.51601,0.00240591,0.00197487,0.00197487
9,371.996,2.28383,2.63516,1.5857,0.76595,0.48097,0.56895,0.33163,1.69454,1.74668,1.4892,0.00197837,0.00197837,0.00197837
10,411.573,2.31991,2.6454,1.55788,0.67716,0.50337,0.61358,0.35405,1.6969,1.43123,1.505,0.00197265,0.00197265,0.00197265
11,451.321,2.27705,2.62399,1.53717,0.62457,0.51252,0.57021,0.30549,1.76766,1.58052,1.53122,0.00196627,0.00196627,0.00196627
12,491.074,2.29278,2.68253,1.52884,0.62518,0.4834,0.5353,0.32474,1.67241,1.60253,1.53617,0.00195923,0.00195923,0.00195923
13,530.662,2.22326,2.5535,1.56052,0.74395,0.53401,0.63461,0.36446,1.62883,1.50601,1.51613,0.00195155,0.00195155,0.00195155
14,569.876,2.27642,2.61482,1.55772,0.69601,0.58811,0.63113,0.35606,1.64536,1.54579,1.46259,0.00194322,0.00194322,0.00194322
15,608.654,2.21444,2.51835,1.52623,0.64618,0.60249,0.65065,0.38906,1.63553,1.43364,1.50222,0.00193424,0.00193424,0.00193424
16,647.458,2.33831,2.68294,1.64434,0.62204,0.47384,0.56505,0.35362,1.61984,1.4254,1.5334,0.00192464,0.00192464,0.00192464
17,686.243,2.20953,2.5158,1.59239,0.60197,0.47859,0.53242,0.31919,1.64744,1.6842,1.51071,0.00191441,0.00191441,0.00191441
18,725.491,2.26258,2.54959,1.53172,0.63935,0.47859,0.53414,0.32098,1.70525,1.79315,1.55596,0.00190356,0.00190356,0.00190356
19,764.711,2.30482,2.63823,1.58897,0.69213,0.49421,0.56284,0.33345,1.66674,1.52075,1.52667,0.0018921,0.0018921,0.0018921
20,803.547,2.3271,2.6347,1.53642,0.77208,0.46974,0.55538,0.34531,1.67903,1.56175,1.51826,0.00188003,0.00188003,0.00188003
21,842.941,2.24549,2.56681,1.54418,0.74773,0.43265,0.52933,0.33209,1.75249,1.94915,1.61165,0.00186737,0.00186737,0.00186737
22,882.403,2.17141,2.53159,1.52468,0.75997,0.42304,0.5211,0.33112,1.75396,1.78954,1.61886,0.00185411,0.00185411,0.00185411
23,921.33,2.27817,2.61327,1.57587,0.67365,0.45302,0.52337,0.34148,1.68811,1.66606,1.6006,0.00184028,0.00184028,0.00184028
24,960.363,2.27236,2.5672,1.561,0.68486,0.48265,0.52123,0.33114,1.64617,1.67627,1.53265,0.00182588,0.00182588,0.00182588
25,999.797,2.27496,2.60312,1.57852,0.75497,0.52957,0.57524,0.33525,1.66797,1.78321,1.50967,0.00181093,0.00181093,0.00181093
26,1038.88,2.15777,2.47732,1.53589,0.72927,0.52483,0.56526,0.33888,1.66367,1.75702,1.5299,0.00179542,0.00179542,0.00179542
27,1078.27,2.21476,2.49696,1.55245,0.67854,0.52644,0.58163,0.34266,1.65174,1.54154,1.48864,0.00177937,0.00177937,0.00177937
28,1116.81,2.18217,2.40643,1.51554,0.66394,0.5109,0.56282,0.32524,1.63551,1.46856,1.51144,0.0017628,0.0017628,0.0017628
29,1156,2.27343,2.64347,1.58249,0.64926,0.52528,0.55505,0.33855,1.66597,1.66288,1.50783,0.00174571,0.00174571,0.00174571
30,1194.35,2.22563,2.4662,1.53333,0.61275,0.53552,0.55308,0.35116,1.65983,1.6844,1.53098,0.00172812,0.00172812,0.00172812
31,1232.94,2.24812,2.46227,1.61674,0.78034,0.49092,0.55164,0.35812,1.64629,1.65712,1.52287,0.00171004,0.00171004,0.00171004
32,1271.67,2.18682,2.49204,1.499,0.6251,0.5272,0.55156,0.34225,1.70602,1.62325,1.60024,0.00169147,0.00169147,0.00169147
33,1309.78,2.27842,2.57745,1.60629,0.71948,0.46748,0.52375,0.33394,1.72709,1.59923,1.62818,0.00167244,0.00167244,0.00167244
34,1348.02,2.22111,2.45943,1.55922,0.69357,0.42934,0.49779,0.32171,1.72508,1.76219,1.53452,0.00165295,0.00165295,0.00165295
35,1386,2.15833,2.41402,1.56962,0.70254,0.44706,0.52884,0.31022,1.7218,1.59171,1.45239,0.00163303,0.00163303,0.00163303
