epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6046,1.28793,0.8219,1.18199,0.66994,0.61875,0.66264,0.35105,1.89328,1.51104,1.63922,0.08824,0.00024,0.00024
2,128.58,1.24133,0.7747,1.13479,0.82177,0.53077,0.67264,0.40239,1.68763,1.25858,1.61601,0.0759899,0.000489917,0.000489917
3,192.146,1.21868,0.77481,1.12802,0.68857,0.67011,0.71536,0.43578,1.69432,1.1134,1.60355,0.0637395,0.000739498,0.000739498
4,251.868,1.24192,0.76513,1.11123,0.65051,0.60219,0.7032,0.4459,1.67589,1.13328,1.67132,0.0514885,0.000988489,0.000988489
5,312.206,1.22379,0.75748,1.12799,0.74102,0.53522,0.6661,0.42224,1.66337,1.14145,1.70559,0.0392366,0.00123664,0.00123664
6,371.617,1.22395,0.74824,1.11541,0.76035,0.58447,0.68821,0.422,1.58277,1.0785,1.60573,0.0269837,0.00148369,0.00148369
7,430.341,1.17765,0.7464,1.0999,0.74743,0.58224,0.67076,0.43438,1.58978,1.06817,1.62545,0.0147294,0.0017294,0.0017294
8,489.481,1.15719,0.7305,1.15213,0.71818,0.59108,0.63521,0.42818,1.57899,1.13911,1.58913,0.00247351,0.00197351,0.00197351
9,549.035,1.16747,0.72072,1.13507,0.76575,0.52831,0.64841,0.41866,1.67191,1.17246,1.64955,0.00197837,0.00197837,0.00197837
10,608.377,1.17797,0.73522,1.13962,0.71313,0.57344,0.66705,0.42305,1.64849,1.20275,1.54888,0.00197265,0.00197265,0.00197265
11,666.925,1.21762,0.74154,1.09891,0.70589,0.69219,0.72439,0.44805,1.63332,1.18426,1.55706,0.00196627,0.00196627,0.00196627
12,731.337,1.19046,0.74451,1.09994,0.70719,0.62262,0.72925,0.44183,1.62826,1.11654,1.58677,0.00195923,0.00195923,0.00195923
13,790.311,1.18564,0.73319,1.11033,0.73354,0.65944,0.73634,0.44678,1.64159,1.1377,1.59357,0.00195155,0.00195155,0.00195155
14,849.552,1.17924,0.74262,1.1194,0.69755,0.68133,0.72467,0.44988,1.58926,1.18273,1.5972,0.00194322,0.00194322,0.00194322
15,908.236,1.20622,0.75772,1.08562,0.76619,0.5553,0.69394,0.41688,1.57596,1.12061,1.60667,0.00193424,0.00193424,0.00193424
16,973.089,1.15989,0.72836,1.08814,0.71489,0.6096,0.67302,0.43576,1.57298,1.12892,1.62083,0.00192464,0.00192464,0.00192464
17,1035.46,1.17719,0.73893,1.13836,0.68511,0.68359,0.69861,0.43427,1.59892,1.0673,1.66131,0.00191441,0.00191441,0.00191441
18,1095.44,1.15669,0.733,1.12523,0.85359,0.55394,0.67297,0.43545,1.64065,1.16164,1.64129,0.00190356,0.00190356,0.00190356
19,1154.88,1.13668,0.73249,1.12871,0.74749,0.57546,0.69588,0.43546,1.60819,1.13719,1.583,0.0018921,0.0018921,0.0018921
20,1218.5,1.14363,0.74505,1.11009,0.8265,0.55138,0.68791,0.43865,1.55421,1.08019,1.56714,0.00188003,0.00188003,0.00188003
21,1278.49,1.11921,0.70472,1.08589,0.62302,0.67683,0.68899,0.43312,1.54584,1.05002,1.57567,0.00186737,0.00186737,0.00186737
22,1345.88,1.12848,0.70266,1.08709,0.75189,0.56464,0.66851,0.42046,1.59347,1.05738,1.59699,0.00185411,0.00185411,0.00185411
23,1406.87,1.17081,0.74517,1.10556,0.81396,0.59348,0.70497,0.42914,1.58905,1.05724,1.58979,0.00184028,0.00184028,0.00184028
24,1466.96,1.18801,0.76297,1.10778,0.70027,0.66308,0.72932,0.4251,1.60315,1.12304,1.59624,0.00182588,0.00182588,0.00182588
25,1528.54,1.22962,0.75354,1.11602,0.7081,0.68082,0.72537,0.43398,1.61951,1.13435,1.6256,0.00181093,0.00181093,0.00181093
26,1588.56,1.19448,0.75176,1.08648,0.64327,0.71719,0.73697,0.44057,1.5536,1.14506,1.56352,0.00179542,0.00179542,0.00179542
27,1648.63,1.13722,0.73236,1.13058,0.79772,0.59934,0.70734,0.45375,1.53334,1.08097,1.53869,0.00177937,0.00177937,0.00177937
28,1708.11,1.1004,0.70572,1.11228,0.68911,0.65726,0.70966,0.45238,1.51815,1.05422,1.53889,0.0017628,0.0017628,0.0017628
29,1767.68,1.10424,0.69557,1.09301,0.67423,0.648,0.7169,0.44924,1.53505,1.05029,1.52475,0.00174571,0.00174571,0.00174571
30,1828.81,1.11413,0.6886,1.09011,0.7109,0.68795,0.74776,0.4709,1.56354,1.05937,1.54891,0.00172812,0.00172812,0.00172812
31,1893.55,1.15256,0.72196,1.08405,0.70464,0.67683,0.71564,0.45687,1.5262,1.03052,1.51603,0.00171004,0.00171004,0.00171004
32,1953.68,1.14885,0.72232,1.11598,0.73085,0.64721,0.69562,0.43286,1.63992,1.10717,1.60821,0.00169147,0.00169147,0.00169147
33,2013.12,1.14046,0.70856,1.08681,0.76278,0.68604,0.71258,0.44457,1.59645,1.16544,1.56102,0.00167244,0.00167244,0.00167244
34,2073.43,1.15102,0.72567,1.12859,0.70604,0.69952,0.72709,0.45158,1.55294,1.11247,1.52586,0.00165295,0.00165295,0.00165295
35,2133.84,1.111,0.69764,1.10528,0.70223,0.70345,0.71953,0.46763,1.52613,1.03986,1.55393,0.00163303,0.00163303,0.00163303
36,2192.72,1.1766,0.73622,1.10852,0.73688,0.57751,0.67216,0.45067,1.57219,1.05564,1.62317,0.00161267,0.00161267,0.00161267
37,2252.06,1.19374,0.73731,1.08376,0.91729,0.52783,0.69692,0.45544,1.58617,1.09106,1.66003,0.00159191,0.00159191,0.00159191
38,2312.17,1.15865,0.71022,1.10687,0.68492,0.58447,0.65904,0.42985,1.64308,1.11624,1.6539,0.00157074,0.00157074,0.00157074
39,2371.28,1.14855,0.71698,1.08378,0.74401,0.56873,0.66666,0.44072,1.63991,1.12158,1.58256,0.00154919,0.00154919,0.00154919
40,2436.48,1.13148,0.70945,1.09383,0.69243,0.65082,0.69665,0.45532,1.60321,1.09233,1.59022,0.00152727,0.00152727,0.00152727
41,2496.38,1.13677,0.70036,1.12565,0.78354,0.58746,0.69388,0.45195,1.60688,1.06007,1.61898,0.001505,0.001505,0.001505
42,2562.19,1.11879,0.67744,1.08919,0.81382,0.55758,0.67551,0.435,1.62229,1.01935,1.6429,0.00148239,0.00148239,0.00148239
43,2628.01,1.12684,0.69399,1.07903,0.81544,0.57196,0.7051,0.44832,1.62448,1.02258,1.64581,0.00145945,0.00145945,0.00145945
44,2687.17,1.12306,0.69511,1.09289,0.83055,0.56811,0.7072,0.46864,1.59346,1.02844,1.63774,0.00143621,0.00143621,0.00143621
45,2757.61,1.11067,0.69366,1.11497,0.87967,0.57576,0.70319,0.46219,1.65991,1.08463,1.70859,0.00141267,0.00141267,0.00141267
46,2823.22,1.11528,0.70116,1.08543,0.86257,0.53985,0.70061,0.45509,1.6077,1.04457,1.65485,0.00138886,0.00138886,0.00138886
47,2882.23,1.13477,0.71564,1.11409,0.80671,0.53084,0.70394,0.46447,1.6055,1.00347,1.6407,0.00136478,0.00136478,0.00136478
48,2945.09,1.12383,0.71423,1.13327,0.7776,0.54261,0.68862,0.44346,1.60289,1.03766,1.64916,0.00134047,0.00134047,0.00134047
49,3009.59,1.15972,0.71769,1.09357,0.70313,0.69245,0.75741,0.45123,1.55584,1.03722,1.59966,0.00131593,0.00131593,0.00131593
50,3075.27,1.11345,0.70004,1.11035,0.71908,0.675,0.75154,0.46194,1.55591,1.06039,1.56462,0.00129118,0.00129118,0.00129118
